"Name","Entity","Serial Number","Device ID","Status","Assistance - Number of Tickets","Locations","Type","Contracts - Name","Model","Cartridges","Networking - IP","Plugins - Man. date - Manufacturing Date","Comments",
"HP Color LaserJet CP4525-4 (12)","Root Entity > Express","JPBCB2S0JB","","Active","9","WCCB > Cafe","Col Ink","DEX High (15)","HP Color LaserJet CP4525","Total: 7 (7 used, 0 worn)","10.45.48.239","02-25-2010","",
"HP LaserJet 4240-4 (25)","Root Entity > Express","CNRXJ95904","","Active","8","WCCB > Cafe","BW Ink","No Contract (11)","HP LaserJet 4240","Total: 3 (2 used, 1 worn)","10.45.48.238","08-09-2007","(10/5/23) I just pulled one of my top 2 hardest to find/deal with printer jams from this printer. Under the Fuser and behind tray1/manual feed stuffed close to the front of the printer. I had to take basically the whole printer apart just to find it. Other than that I think it works fine now.",
"HP Color LaserJet CP4025-3 (5)","Root Entity > Express","JPBCD4T07Q","8043785","Active","1","HCEB > 200","Col Ink","DEX High (15)","HP Color LaserJet CP4025","Total: 8 (7 used, 1 worn)","10.45.20.247","04-26-2012","",
"KM Bizhub C3100P-01 (40)","Root Entity > Express","A6DR012107023","9519 9209","Active","3","HR07 > B100","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 13 (11 used, 2 worn)","10.45.4.123","08-01-2017","",
"HP LaserJet 500 M525f-1 (187)","Root Entity > Express > Department","MXDCFDB25H","","Active","2","ULB > 111","BW Ink","No Contract (11)","HP LaserJet 500 M525f","Total: 2 (2 used, 0 worn)","10.35.41.126","12-11-2013","",
"HP LaserJet 4250-2 (27)","Root Entity > Express","CNRXL66111","7197181","Active > Swap out soon","0","LSB > 2128A","BW Ink","No Contract (11)","HP LaserJet 4250","Total: 2 (2 used, 0 worn)","10.32.33.248","03-27-2007","",
"KM Bizhub C3100P-14 (152)","Root Entity > Express","A6DR012104418","7K3159","Active","3","LSB > 2nd Flr Lobby","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 13 (11 used, 2 worn)","10.32.33.247","08-01-2016","",
"HP LaserJet P3015-4 (35)","Root Entity > Express","VND3F54210","","Active","3","LSB > 2nd Flr Lobby","BW Ink","No Contract (11)","HP LaserJet P3015","Total: 3 (2 used, 1 worn)","10.32.33.240","10-01-2014","",
"KM Bizhub C3100P-11 (50)","Root Entity > Express","A6DR012107052","","Active","1","TNRB > W339","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 14 (11 used, 3 worn)","10.25.93.117","01-04-2018","Not in FMAudit",
"HP Color LaserJet M751-2 (14)","Root Entity > Express","JPBCR140H7","","Active","2","BRMB > 140","Col Ink","No Contract (11)","HP Color LaserJet M751","Total: 6 (6 used, 0 worn)","10.25.64.231","01-01-2023","",
